Date,Open,High,Low,Close,Volume,Adj Close
2016-01-06,93.135,94.185,91.875,92.925,338000,84.1565
2016-01-05,93.765,94.395,92.925,93.135,281100,84.3467
2016-01-04,96.39,96.915,94.71,94.71,322000,85.7731
2016-01-01,96.915,96.915,96.915,96.915,000,87.77
2015-12-31,98.07,98.175,96.39,96.915,593500,87.77
2015-12-30,94.71,97.545,94.08,96.60,678100,87.4848
2015-12-29,95.34,95.865,93.66,93.765,361300,84.9173
2015-12-28,92.295,95.55,92.295,95.55,351900,86.5338
2015-12-25,93.24,93.24,91.14,92.295,514200,83.586
2015-12-24,94.92,95.76,93.03,93.24,433200,84.4418
2015-12-23,95.235,95.97,94.71,94.92,221000,85.9633
2015-12-22,96.18,96.18,95.235,95.235,167500,86.2486
2015-12-21,95.55,95.865,94.815,95.865,143200,86.8191
2015-12-18,96.705,96.705,95.76,95.865,135300,86.8191
2015-12-17,95.445,97.125,95.235,97.02,352400,87.8651
2015-12-16,96.495,96.495,94.50,94.50,222300,85.5829
2015-12-15,94.605,95.235,93.87,93.975,246300,85.1075
2015-12-14,93.135,94.395,92.61,93.66,331000,84.8222
2015-12-11,98.07,98.49,93.975,94.50,616300,85.5829
2015-12-10,97.65,99.015,96.705,97.44,458700,88.2455
2015-12-09,100.38,100.905,96.075,97.86,1156700,88.6259
2015-12-08,104.475,104.58,100.275,100.275,1425200,90.813
2015-12-07,101.85,103.425,100.695,102.90,800700,93.1903
2015-12-04,100.38,102.375,100.065,100.17,604800,90.7179
2015-12-03,100.485,102.48,99.75,101.43,484900,91.859
2015-12-02,101.22,101.85,100.485,100.485,368200,91.0032
2015-12-01,99.96,101.325,99.96,100.485,407400,91.0032
2015-11-30,100.38,100.80,99.12,99.33,445700,89.9572
2015-11-27,103.215,104.475,100.905,101.115,1000500,91.5737
2015-11-26,100.38,102.90,99.96,102.165,731000,92.5247
2015-11-25,99.75,101.01,98.91,99.12,583400,89.767
2015-11-24,100.275,100.695,98.49,98.49,760700,89.1964
2015-11-23,101.85,102.06,100.59,101.01,423700,91.4786
2015-11-20,103.11,104.79,100.80,101.01,1034200,91.4786
2015-11-19,100.17,102.69,99.96,102.48,929100,92.8099
2015-11-18,100.695,100.695,99.645,99.645,335200,90.2424
2015-11-17,100.80,101.325,100.065,100.065,506000,90.6228
2015-11-16,99.015,99.75,97.65,99.225,403500,89.8621
2015-11-13,99.015,101.64,98.91,100.485,1184600,91.0032
2015-11-12,100.695,100.695,97.86,98.70,827800,89.3866
2015-11-11,99.12,101.01,98.70,98.70,1015100,89.3866
2015-11-10,98.70,100.275,97.545,98.805,582700,89.4817
2015-11-09,103.95,103.95,98.70,98.70,2580100,89.3866
2015-11-06,105.525,109.20,105.525,106.05,2317400,96.0431
2015-11-05,105.00,106.575,102.90,105.00,1354900,95.0921
2015-11-04,105.00,105.525,103.95,103.95,866400,94.1412
2015-11-03,103.32,106.05,102.69,103.53,1412600,93.7608
2015-11-02,102.375,102.375,100.59,101.85,570900,92.2394
2015-10-30,105.525,106.05,101.22,101.325,1783200,91.7639
2015-10-29,103.11,108.15,103.11,104.895,4068800,94.997
2015-10-28,102.06,102.375,100.17,101.955,805400,92.3345
2015-10-27,101.325,102.90,100.275,101.01,1114600,91.4786
2015-10-26,99.54,101.64,98.70,100.80,1307200,91.2885
2015-10-23,99.225,99.54,97.755,99.225,704700,89.8621
2015-10-22,98.805,99.015,96.81,97.44,603600,88.2455
2015-10-21,99.54,100.80,98.70,98.70,1185300,89.3866
2015-10-20,97.545,98.385,96.075,98.385,497600,89.1013
2015-10-19,97.65,98.49,96.60,96.60,437000,87.4848
2015-10-16,100.17,100.59,97.44,97.44,782700,88.2455
2015-10-15,98.70,102.375,98.70,99.75,2509700,90.3375
2015-10-14,97.23,98.49,96.075,97.65,591400,88.4357
2015-10-13,98.70,99.435,97.65,97.65,664300,88.4357
2015-10-12,96.495,97.335,95.34,97.335,608600,88.1504
2015-10-09,95.025,95.025,95.025,95.025,000,86.0584
2015-10-08,100.065,100.38,95.025,95.025,1074700,86.0584
2015-10-07,99.54,100.275,97.965,99.645,1012200,90.2424
2015-10-06,103.635,103.635,98.385,98.70,1305200,89.3866
2015-10-05,96.495,102.375,96.285,100.80,2262300,91.2885
2015-10-02,93.975,96.60,93.345,94.71,1148600,85.7731
2015-10-01,95.34,95.34,93.975,93.975,1086400,85.1075
2015-09-30,91.245,94.50,90.51,94.08,1282600,85.2026
2015-09-29,92.295,92.295,92.295,92.295,000,83.586
2015-09-28,92.295,92.295,92.295,92.295,000,83.586
2015-09-25,89.355,92.295,87.255,92.295,910700,83.586
2015-09-24,91.455,93.345,88.20,89.25,936700,80.8283
2015-09-23,93.03,93.975,91.35,91.455,678500,82.8253
2015-09-22,92.505,94.50,92.505,94.08,697800,85.2026
2015-09-21,91.77,92.925,91.665,92.19,802800,83.4909
2015-09-18,93.45,95.97,92.925,93.87,2911500,85.0124
2015-09-17,88.725,89.88,87.36,89.88,1153000,81.3989
2015-09-16,86.94,88.83,86.10,87.675,987400,79.4019
2015-09-15,87.36,87.57,85.155,85.155,381100,77.1197
2015-09-14,86.94,87.57,85.68,86.835,687300,78.6412
2015-09-11,86.31,86.835,85.155,85.89,655900,77.7854
2015-09-10,85.575,87.15,85.575,85.785,1363900,77.6903
2015-09-09,81.795,82.95,81.165,81.90,451600,74.1719
2015-09-08,79.59,80.85,78.54,80.64,329000,73.0308
2015-09-07,79.065,79.905,77.805,78.435,316000,71.0338
2015-09-04,80.85,81.69,78.75,78.96,757600,71.5093
2015-09-03,78.015,82.425,77.175,80.64,1002100,73.0308
2015-09-02,74.025,77.595,73.71,77.595,572100,70.2731
2015-09-01,74.025,75.39,73.50,74.97,371700,67.8958
2015-08-31,73.50,74.445,72.975,74.445,211500,67.4203
2015-08-28,73.71,75.285,73.50,73.50,560100,66.5645
2015-08-27,71.40,73.815,70.98,71.61,744000,64.8528
2015-08-26,68.25,70.455,66.465,69.825,666000,63.2363
2015-08-25,64.47,69.51,64.47,69.30,818200,62.7608
2015-08-24,72.45,72.45,67.305,67.305,1578000,60.9541
2015-08-21,77.805,79.065,74.655,74.76,825700,67.7056
2015-08-20,77.175,80.745,77.175,80.745,524000,73.1259
2015-08-19,79.905,81.06,77.28,77.595,1084900,70.2731
2015-08-18,84.525,85.575,80.22,81.06,1792100,73.4111
2015-08-17,86.20,88.20,85.00,79.60,1459100,64.5807
2015-08-14,86.20,86.30,84.30,86.00,607600,69.7732
2015-08-13,84.30,87.00,84.30,85.6999,518900,69.5297
2015-08-12,85.00,86.20,83.50,85.00,504100,68.9618
2015-08-11,86.90,86.90,84.70,84.80,704000,68.7996
2015-08-10,81.00,85.90,80.80,84.40,853100,68.4751
2015-08-07,77.50,79.80,77.50,79.10,484400,64.175
2015-08-06,82.30,82.40,78.30,79.20,531300,64.2562
2015-08-05,80.955,85.05,80.955,84.945,644500,68.9172
2015-08-04,88.20,88.935,80.85,82.11,1150200,66.6171
